index,predicted
221934,230136.55
221935,406474.29
221936,359391.56
221937,327533.63
221938,326865.54
221939,341124.97
221940,324268.09
221941,385847.07
221942,331817.9
221943,331393.37
221944,354568.78
221945,365484.51
221946,323421.09
221947,331975.1
221948,348735.64
221949,342030.92
221950,377282.57
221951,345306.28
221952,345650.15
221953,353052.43
221954,350724.14
221955,367229.23
221956,362434.21
221957,389263.64
221958,407872.51
221959,387693.03
221960,381244.83
221961,349810.65
221962,348739.74
221963,354737.03
221964,380196.29
221965,348885.63
221966,355797.51
221967,363573.89
221968,361913.49
221969,343424.33
221970,356371.56
221971,360110.69
221972,343310.85
221973,380915.92
221974,336972.04
221975,385400.77
221976,342677.23
221977,360952.97
221978,353396.14
221979,331194.75
221980,382124.37
221981,411605.95
221982,331793.0
221983,363009.38
221984,321742.24
221985,454593.57
221986,442225.62
221987,440357.24
221988,633450.44
221989,507621.92
221990,456433.04
221991,449232.84
221992,438955.28
221993,424725.99
221994,455951.62
221995,439711.8
221996,432423.18
221997,447355.73
221998,477816.18
221999,446374.0
222000,533574.58
222001,778374.95
222002,746259.2
222003,514059.11
222004,551677.44
222005,512483.46
222006,761588.85
222007,610672.23
222008,779053.61
222009,603987.16
222010,585543.76
222011,635620.6
222012,523226.56
222013,538781.18
222014,568667.61
222015,619455.53
222016,585524.11
222017,562237.62
222018,651551.32
222019,555887.09
222020,530313.75
222021,621351.23
222022,672964.68
222023,683088.24
222024,600745.55
222025,617652.43
222026,860493.23
222027,778921.19
222028,835372.62
222029,881960.43
222030,708572.27
222031,212976.39
222032,220673.57
222033,370534.93
222034,325395.94
222035,297799.37
222036,330038.37
222037,310048.11
222038,310048.11
222039,359180.16
222040,366877.34
222041,317745.29
222042,326396.8
222043,329860.25
222044,327728.25
222045,280634.68
222046,288272.92
222047,325348.01
222048,384102.55
222049,357257.75
222050,337078.77
222051,335432.27
222052,310175.02
222053,335481.4
222054,369144.52
222055,308863.47
222056,332018.56
222057,296468.04
222058,329962.35
222059,344066.61
222060,333970.27
222061,317456.08
222062,341874.5
222063,344807.02
222064,260686.6
222065,290724.35
222066,291815.4
222067,301226.46
222068,285134.5
222069,318289.68
222070,345883.63
222071,368386.27
222072,296296.25
222073,279083.62
222074,372274.8
222075,343255.37
222076,297454.91
222077,351422.39
222078,349106.1
222079,324521.51
222080,305786.91
222081,322678.72
222082,537821.42
222083,431183.94
222084,412556.03
222085,405059.73
222086,411822.76
222087,439328.32
222088,431778.0
222089,440748.59
222090,583824.43
222091,441843.65
222092,430551.96
222093,419002.94
222094,421912.08
222095,422383.68
222096,439665.08
222097,468893.81
222098,450507.46
222099,468815.21
222100,515871.05
222101,515851.4
222102,413437.04
222103,353760.2
222104,442757.22
222105,433390.22
222106,405070.86
222107,387897.53
222108,435018.63
222109,494657.67
222110,509450.79
222111,610592.74
222112,540575.47
222113,602597.52
222114,508666.99
222115,550551.55
222116,536834.14
222117,697033.93
222118,569751.85
222119,536952.04
222120,577511.64
222121,550263.5
222122,594261.33
222123,563341.79
222124,573405.56
222125,556861.16
222126,530280.0
222127,547504.47
222128,599642.17
222129,536689.95
222130,564074.46
222131,712745.01
222132,688455.38
222133,706457.49
222134,725419.37
222135,758414.59
222136,721436.22
222137,444827.62
222138,446546.73
222139,440295.76
222140,425959.37
222141,443159.51
222142,423542.54
222143,433608.19
222144,515645.62
222145,505803.34
222146,511452.85
222147,527598.95
222148,538452.59
222149,510907.03
222150,594629.14
222151,632089.0
222152,576846.49
222153,598612.11
222154,604781.73
222155,601947.37
222156,638654.13
222157,642340.67
222158,519127.72
222159,537283.54
222160,758572.52
222161,667532.92
222162,683840.49
222163,657339.56
222164,661087.55
222165,664204.73
222166,698591.02
222167,691637.94
222168,704681.82
222169,968693.13
222170,709652.88
222171,664688.33
222172,818846.79
222173,824205.0
222174,792855.81
222175,792816.51
222176,896869.33
222177,277221.21
222178,305740.91
222179,322491.63
222180,293143.77
222181,354748.83
222182,301594.55
222183,291450.31
222184,319186.88
222185,301659.81
222186,284243.3
222187,316939.73
222188,308443.14
222189,275852.02
222190,275763.59
222191,267824.46
222192,283549.2
222193,279350.9
222194,279040.88
222195,291018.48
222196,299652.72
222197,266483.72
222198,309718.36
222199,260718.62
222200,303996.53
222201,272590.65
222202,258958.86
222203,309231.86
222204,285095.01
222205,312998.37
222206,432848.45
222207,429778.37
222208,377855.96
222209,390892.61
222210,399724.04
222211,377362.84
222212,409355.43
222213,494793.36
222214,468800.92
222215,438691.02
222216,440363.93
222217,431830.79
222218,405467.93
222219,366031.46
222220,423680.35
222221,419041.96
222222,410820.55
222223,409935.48
222224,421220.96
222225,494235.11
222226,502139.93
222227,494244.93
222228,491214.93
222229,437003.83
222230,505362.06
222231,488312.89
222232,509420.35
222233,513706.67
222234,549940.81
