index,predicted
221934,270000.0
221935,405500.0
221936,320000.0
221937,309000.0
221938,332000.0
221939,325000.0
221940,345000.0
221941,415000.0
221942,283000.0
221943,334000.0
221944,318000.0
221945,335000.0
221946,300000.0
221947,277000.0
221948,333000.0
221949,310000.0
221950,415000.0
221951,283000.0
221952,343000.0
221953,358500.0
221954,346500.0
221955,355000.0
221956,387000.0
221957,410000.0
221958,365000.0
221959,423888.0
221960,310000.0
221961,345000.0
221962,295000.0
221963,387000.0
221964,370000.0
221965,370000.0
221966,362000.0
221967,338000.0
221968,380000.0
221969,250000.0
221970,327000.0
221971,330000.0
221972,306988.0
221973,430000.0
221974,345000.0
221975,432000.0
221976,345000.0
221977,370000.0
221978,329000.0
221979,385000.0
221980,387888.0
221981,438000.0
221982,298000.0
221983,380000.0
221984,340000.0
221985,468000.0
221986,457000.0
221987,450000.0
221988,645000.0
221989,397000.0
221990,455000.0
221991,425000.0
221992,492800.0
221993,370000.0
221994,468000.0
221995,454000.0
221996,430000.0
221997,465000.0
221998,582000.0
221999,430000.0
222000,480000.0
222001,747000.0
222002,670000.0
222003,625000.0
222004,635000.0
222005,625000.0
222006,688000.0
222007,705000.0
222008,860000.0
222009,665000.0
222010,615000.0
222011,638000.0
222012,668000.0
222013,607000.0
222014,668000.0
222015,700000.0
222016,615000.0
222017,616000.0
222018,830000.0
222019,638000.0
222020,570000.0
222021,628000.0
222022,740000.0
222023,750000.0
222024,697000.0
222025,697000.0
222026,866000.0
222027,828000.0
222028,838000.0
222029,865000.0
222030,789500.0
222031,215000.0
222032,215000.0
222033,435000.0
222034,310000.0
222035,265000.0
222036,312000.0
222037,250000.0
222038,250000.0
222039,328000.0
222040,325000.0
222041,343000.0
222042,330000.0
222043,290000.0
222044,351888.0
222045,262000.0
222046,317000.0
222047,311000.0
222048,330000.0
222049,345000.0
222050,308000.0
222051,305000.0
222052,320000.0
222053,305000.0
222054,388000.0
222055,290000.0
222056,305000.0
222057,332000.0
222058,285000.0
222059,335000.0
222060,263000.0
222061,292500.0
222062,332000.0
222063,335000.0
222064,280000.0
222065,345000.0
222066,353000.0
222067,313000.0
222068,348000.0
222069,290000.0
222070,385000.0
222071,310000.0
222072,355000.0
222073,362000.0
222074,375000.0
222075,312000.0
222076,275000.0
222077,273000.0
222078,315000.0
222079,335000.0
222080,430000.0
222081,338000.0
222082,488000.0
222083,450000.0
222084,465000.0
222085,440000.0
222086,369000.0
222087,405000.0
222088,408000.0
222089,418000.0
222090,598000.0
222091,452000.0
222092,420000.0
222093,369000.0
222094,400000.0
222095,411500.0
222096,384000.0
222097,440000.0
222098,404000.0
222099,430000.0
222100,475000.0
222101,475000.0
222102,368000.0
222103,358000.0
222104,425000.0
222105,375000.0
222106,442000.0
222107,348000.0
222108,397500.0
222109,530000.0
222110,530000.0
222111,568000.0
222112,618000.0
222113,490000.0
222114,635000.0
222115,635000.0
222116,635000.0
222117,610000.0
222118,635000.0
222119,635000.0
222120,680000.0
222121,520000.0
222122,645000.0
222123,590888.0
222124,638000.0
222125,615000.0
222126,615000.0
222127,545000.0
222128,572500.0
222129,615000.0
222130,650000.0
222131,550000.0
222132,720000.0
222133,620000.0
222134,735000.0
222135,870000.0
222136,827500.0
222137,395000.0
222138,355000.0
222139,405000.0
222140,397500.0
222141,432000.0
222142,386000.0
222143,415000.0
222144,438000.0
222145,434000.0
222146,417000.0
222147,568000.0
222148,450000.0
222149,440000.0
222150,535000.0
222151,650000.0
222152,570000.0
222153,570000.0
222154,576888.0
222155,593888.0
222156,700000.0
222157,625000.0
222158,575000.0
222159,540000.0
222160,820000.0
222161,737000.0
222162,858000.0
222163,738000.0
222164,705000.0
222165,630000.0
222166,691000.0
222167,833000.0
222168,713000.0
222169,1000000.0
222170,670000.0
222171,600000.0
222172,1021500.0
222173,950000.0
222174,800000.0
222175,838888.0
222176,807000.0
222177,298000.0
222178,272000.0
222179,348000.0
222180,260000.0
222181,290000.0
222182,278000.0
222183,272000.0
222184,293000.0
222185,355000.0
222186,339999.0
222187,300000.0
222188,380000.0
222189,330000.0
222190,330000.0
222191,283000.0
222192,330000.0
222193,260000.0
222194,260000.0
222195,336000.0
222196,310000.0
222197,275000.0
222198,310000.0
222199,270000.0
222200,265000.0
222201,323000.0
222202,304000.0
222203,280000.0
222204,296500.0
222205,273000.0
222206,465000.0
222207,465000.0
222208,380000.0
222209,380000.0
222210,460000.0
222211,304000.0
222212,415000.0
222213,403800.0
222214,403800.0
222215,397000.0
222216,455000.0
222217,460000.0
222218,385000.0
222219,345000.0
222220,415000.0
222221,448000.0
222222,355000.0
222223,388000.0
222224,420000.0
222225,510000.0
222226,420000.0
222227,510000.0
222228,450000.0
222229,430000.0
222230,538000.0
222231,540000.0
222232,665000.0
222233,475000.0
222234,460000.0
222235,515000.0
222236,470000.0
222237,650000.0
222238,595000.0
222239,650000.0
222240,559000.0
222241,520000.0
222242,515000.0
222243,565000.0
222244,660000.0
222245,700000.0
222246,625000.0
222247,575000.0
222248,625000.0
222249,548000.0
222250,642000.0
222251,640000.0
222252,222500.0
222253,257000.0
222254,306888.0
222255,280000.0
222256,255000.0
222257,308888.0
222258,380000.0
222259,380000.0
222260,368888.0
222261,385000.0
222262,483000.0
222263,650000.0
222264,605000.0
222265,423000.0
222266,423000.0
222267,423000.0
222268,340000.0
222269,383000.0
222270,330500.0
222271,415000.0
222272,330000.0
222273,299000.0
222274,423000.0
222275,590000.0
222276,620000.0
222277,375000.0
222278,352888.0
222279,315000.0
222280,347000.0
222281,800000.0
222282,630000.0
222283,785000.0
222284,508000.0
222285,508000.0
222286,600000.0
222287,603000.0
222288,668000.0
222289,598000.0
222290,830000.0
222291,500000.0
222292,610000.0
222293,650888.0
222294,668000.0
222295,540000.0
222296,634000.0
222297,637000.0
222298,650888.0
222299,590000.0
222300,625000.0
222301,660000.0
222302,814000.0
222303,785000.0
222304,600888.0
222305,700000.0
222306,600888.0
222307,795000.0
222308,806000.0
222309,634000.0
222310,481000.0
222311,590000.0
222312,550000.0
222313,535000.0
222314,390000.0
222315,838000.0
222316,920000.0
222317,1088000.0
222318,885000.0
222319,883000.0
222320,825000.0
222321,698000.0
222322,825000.0
222323,815000.0
222324,968000.0
222325,648000.0
222326,771800.0
222327,685000.0
222328,765000.0
222329,825000.0
222330,768000.0
222331,825500.0
222332,820000.0
222333,270000.0
222334,293000.0
222335,288000.0
222336,345000.0
222337,272000.0
222338,330000.0
222339,330000.0
222340,355000.0
222341,431000.0
222342,390000.0
222343,405800.0
222344,350000.0
222345,502000.0
222346,444188.0
222347,368888.0
222348,370000.0
222349,446000.0
222350,350000.0
222351,500000.0
222352,563800.0
222353,563800.0
222354,408888.0
222355,323000.0
222356,365000.0
222357,340000.0
222358,340000.0
222359,365000.0
222360,355000.0
222361,435000.0
222362,375000.0
222363,375000.0
222364,425000.0
222365,375000.0
222366,435000.0
222367,482000.0
